1965,12,-0.2,6.98,5.18,-1.4
1966,1,-2.2,3.79,6.83,-0.9
1966,2,4.6,7,6.64,-0.4
1966,3,1.3,12.44,4.69,-2.4
1966,4,20.8,24.75,4.21,-0.9
1966,5,33.9,39.26,2.86,-1.9
1966,6,49.7,50.32,1.47,-0.4
1966,7,51.8,53.77,1.57,-1.3
1966,8,48.5,50.02,2.01,-0.8
1966,9,41.9,40.84,2.88,0.4
1966,10,23.1,25.22,4.17,-0.5
1966,11,12.3,11.77,5.08,0.1
1966,12,-0.5,6.98,5.18,-1.4
1967,1,1,3.79,6.83,-0.4
1967,2,4.3,7,6.64,-0.4
1967,3,15.1,12.44,4.69,0.6
1967,4,26.3,24.75,4.21,0.4
1967,5,37.9,39.26,2.86,-0.5
1967,6,50.3,50.32,1.47,0
1967,7,52,53.77,1.57,-1.1
1967,8,50.5,50.02,2.01,0.2
1967,9,41.4,40.84,2.88,0.2
1967,10,24.5,25.22,4.17,-0.2
1967,11,15.4,11.77,5.08,0.7
1967,12,6.1,6.98,5.18,-0.2
1968,1,2.4,3.79,6.83,-0.2
1968,2,2.5,7,6.64,-0.7
1968,3,14.6,12.44,4.69,0.5
1968,4,21.3,24.75,4.21,-0.8
1968,5,37.5,39.26,2.86,-0.6
1968,6,48.5,50.32,1.47,-1.2
1968,7,55,53.77,1.57,0.8
1968,8,51.8,50.02,2.01,0.9
1968,9,38.4,40.84,2.88,-0.8
1968,10,23.4,25.22,4.17,-0.4
1968,11,12.1,11.77,5.08,0.1
1968,12,-2.9,6.98,5.18,-1.9
1969,1,-4.9,3.79,6.83,-1.3
1969,2,3.2,7,6.64,-0.6
1969,3,13.6,12.44,4.69,0.2
1969,4,27.4,24.75,4.21,0.6
1969,5,40.5,39.26,2.86,0.4
1969,6,51.6,50.32,1.47,0.9
1969,7,51.1,53.77,1.57,-1.7
1969,8,44.8,50.02,2.01,-2.6
1969,9,42.5,40.84,2.88,0.6
1969,10,31.5,25.22,4.17,1.5
1969,11,8.6,11.77,5.08,-0.6
1969,12,14.5,6.98,5.18,1.5
1970,1,-6.2,3.79,6.83,-1.5
1970,2,12.6,7,6.64,0.8
1970,3,16.9,12.44,4.69,1
1970,4,22,24.75,4.21,-0.7
1970,5,38.6,39.26,2.86,-0.2
1970,6,47.6,50.32,1.47,-1.9
1970,7,51,53.77,1.57,-1.8
1970,8,48,50.02,2.01,-1
1970,9,36.5,40.84,2.88,-1.5
1970,10,18.9,25.22,4.17,-1.5
1970,11,16.1,11.77,5.08,0.9
1970,12,0.9,6.98,5.18,-1.2
1971,1,-11.8,3.79,6.83,-2.3
1971,2,-1,7,6.64,-1.2
1971,3,1,12.44,4.69,-2.4
1971,4,18.3,24.75,4.21,-1.5
1971,5,34,39.26,2.86,-1.8
1971,6,49.4,50.32,1.47,-0.6
1971,7,52,53.77,1.57,-1.1
1971,8,48.8,50.02,2.01,-0.6
1971,9,39.6,40.84,2.88,-0.4
1971,10,23.9,25.22,4.17,-0.3
1971,11,9.1,11.77,5.08,-0.5
1971,12,4,6.98,5.18,-0.6
1972,1,-4.5,3.79,6.83,-1.2
1972,2,-2,7,6.64,-1.4
1972,3,-1.1,12.44,4.69,-2.9
1972,4,14.9,24.75,4.21,-2.3
1972,5,36.5,39.26,2.86,-1
1972,6,47.4,50.32,1.47,-2
1972,7,54.9,53.77,1.57,0.7
1972,8,51.7,50.02,2.01,0.8
1972,9,38.7,40.84,2.88,-0.7
1972,10,27.3,25.22,4.17,0.5
1972,11,13.5,11.77,5.08,0.3
1972,12,5.4,6.98,5.18,-0.3
1973,1,-6.3,3.79,6.83,-1.5
1973,2,5.8,7,6.64,-0.2
1973,3,8.7,12.44,4.69,-0.8
1973,4,24.1,24.75,4.21,-0.2
1973,5,37.5,39.26,2.86,-0.6
1973,6,47.9,50.32,1.47,-1.6
1973,7,51,53.77,1.57,-1.8
1973,8,47.6,50.02,2.01,-1.2
1973,9,40.9,40.84,2.88,0
1973,10,23.8,25.22,4.17,-0.3
1973,11,7.6,11.77,5.08,-0.8
1973,12,6.6,6.98,5.18,-0.1
1974,1,-2.4,3.79,6.83,-0.9
1974,2,-8,7,6.64,-2.3
1974,3,8.7,12.44,4.69,-0.8
1974,4,23.8,24.75,4.21,-0.2
1974,5,39.1,39.26,2.86,-0.1
1974,6,47.6,50.32,1.47,-1.9
1974,7,52.1,53.77,1.57,-1.1
1974,8,51.5,50.02,2.01,0.7
1974,9,44.3,40.84,2.88,1.2
1974,10,22.1,25.22,4.17,-0.7
1974,11,7.9,11.77,5.08,-0.8
1974,12,-2.6,6.98,5.18,-1.8
1975,1,-4.5,3.79,6.83,-1.2
1975,2,1,7,6.64,-0.9
1975,3,10.6,12.44,4.69,-0.4
1975,4,19.9,24.75,4.21,-1.2
1975,5,37.1,39.26,2.86,-0.8
1975,6,46.7,50.32,1.47,-2.5
1975,7,52.9,53.77,1.57,-0.6
1975,8,49.1,50.02,2.01,-0.5
1975,9,39.4,40.84,2.88,-0.5
1975,10,23.9,25.22,4.17,-0.3
1975,11,2.7,11.77,5.08,-1.8
1975,12,-2.4,6.98,5.18,-1.8
1976,1,1,3.79,6.83,-0.4
1976,2,-4.1,7,6.64,-1.7
1976,3,9.7,12.44,4.69,-0.6
1976,4,23.1,24.75,4.21,-0.4
1976,5,36.6,39.26,2.86,-0.9
1976,6,48.2,50.32,1.47,-1.4
1976,7,52.5,53.77,1.57,-0.8
1976,8,51.7,50.02,2.01,0.8
1976,9,41.7,40.84,2.88,0.3
1976,10,24.8,25.22,4.17,-0.1
1976,11,18.6,11.77,5.08,1.3
1976,12,5.9,6.98,5.18,-0.2
1977,1,17.4,3.79,6.83,2
1977,2,15.1,7,6.64,1.2
1977,3,5.6,12.44,4.69,-1.5
1977,4,18.3,24.75,4.21,-1.5
1977,5,36.6,39.26,2.86,-0.9
1977,6,49.6,50.32,1.47,-0.5
1977,7,54.3,53.77,1.57,0.3
1977,8,54.5,50.02,2.01,2.2
1977,9,42.4,40.84,2.88,0.5
1977,10,26.1,25.22,4.17,0.2
1977,11,4.2,11.77,5.08,-1.5
1977,12,-0.1,6.98,5.18,-1.4
1978,1,12.8,3.79,6.83,1.3
1978,2,10.2,7,6.64,0.5
1978,3,13.7,12.44,4.69,0.3
1978,4,26.5,24.75,4.21,0.4
1978,5,39.5,39.26,2.86,0.1
1978,6,46.9,50.32,1.47,-2.3
1978,7,53.4,53.77,1.57,-0.2
1978,8,52.1,50.02,2.01,1
1978,9,42.6,40.84,2.88,0.6
1978,10,24,25.22,4.17,-0.3
1978,11,17,11.77,5.08,1
1978,12,10.2,6.98,5.18,0.6
1979,1,10.3,3.79,6.83,1
1979,2,-7.6,7,6.64,-2.2
1979,3,14.2,12.44,4.69,0.4
1979,4,25.3,24.75,4.21,0.1
1979,5,40.9,39.26,2.86,0.6
1979,6,48.5,50.32,1.47,-1.2
1979,7,53.5,53.77,1.57,-0.2
1979,8,52.8,50.02,2.01,1.4
1979,9,42.4,40.84,2.88,0.5
1979,10,31.1,25.22,4.17,1.4
1979,11,22.5,11.77,5.08,2.1
1979,12,-2.7,6.98,5.18,-1.9
1980,1,-1.7,3.79,6.83,-0.8
1980,2,12.7,7,6.64,0.9
1980,3,15.8,12.44,4.69,0.7
1980,4,26.2,24.75,4.21,0.3
1980,5,39.6,39.26,2.86,0.1
1980,6,48.3,50.32,1.47,-1.4
1980,7,52.8,53.77,1.57,-0.6
1980,8,48,50.02,2.01,-1
1980,9,38.8,40.84,2.88,-0.7
1980,10,28.4,25.22,4.17,0.8
1980,11,16,11.77,5.08,0.8
1980,12,-7.5,6.98,5.18,-2.8
1981,1,20.1,3.79,6.83,2.4
1981,2,9.1,7,6.64,0.3
1981,3,21.9,12.44,4.69,2
1981,4,24.4,24.75,4.21,-0.1
1981,5,43,39.26,2.86,1.3
1981,6,48.8,50.32,1.47,-1
1981,7,50.9,53.77,1.57,-1.8
1981,8,48.7,50.02,2.01,-0.7
1981,9,38.8,40.84,2.88,-0.7
1981,10,26.7,25.22,4.17,0.4
1981,11,13.6,11.77,5.08,0.4
1981,12,4.5,6.98,5.18,-0.5
1982,1,-1.4,3.79,6.83,-0.8
1982,2,5.1,7,6.64,-0.3
1982,3,12.8,12.44,4.69,0.1
1982,4,19.3,24.75,4.21,-1.3
1982,5,35.2,39.26,2.86,-1.4
1982,6,48.9,50.32,1.47,-1
1982,7,52.7,53.77,1.57,-0.7
1982,8,49.6,50.02,2.01,-0.2
1982,9,41.5,40.84,2.88,0.2
1982,10,19.2,25.22,4.17,-1.4
1982,11,11.2,11.77,5.08,-0.1
1982,12,9.5,6.98,5.18,0.5
1983,1,-1,3.79,6.83,-0.7
1983,2,7.6,7,6.64,0.1
1983,3,13.2,12.44,4.69,0.2
1983,4,26.7,24.75,4.21,0.5
1983,5,39.2,39.26,2.86,0
1983,6,50.2,50.32,1.47,-0.1
1983,7,53.6,53.77,1.57,-0.1
1983,8,47.7,50.02,2.01,-1.2
1983,9,36.8,40.84,2.88,-1.4
1983,10,22,25.22,4.17,-0.8
1983,11,16.3,11.77,5.08,0.9
1983,12,10,6.98,5.18,0.6
1984,1,3.1,3.79,6.83,-0.1
1984,2,-7,7,6.64,-2.1
1984,3,17.9,12.44,4.69,1.2
1984,4,19.3,24.75,4.21,-1.3
1984,5,36.2,39.26,2.86,-1.1
1984,6,50.4,50.32,1.47,0.1
1984,7,52,53.77,1.57,-1.1
1984,8,48,50.02,2.01,-1
1984,9,42.1,40.84,2.88,0.4
1984,10,25.6,25.22,4.17,0.1
1984,11,8.6,11.77,5.08,-0.6
1984,12,6.8,6.98,5.18,0
1985,1,18.8,3.79,6.83,2.2
1985,2,-0.2,7,6.64,-1.1
1985,3,12.8,12.44,4.69,0.1
1985,4,12.6,24.75,4.21,-2.9
1985,5,35.9,39.26,2.86,-1.2
1985,6,46.8,50.32,1.47,-2.4
1985,7,53.4,53.77,1.57,-0.2
1985,8,49,50.02,2.01,-0.5
1985,9,39.7,40.84,2.88,-0.4
1985,10,20.7,25.22,4.17,-1.1
1985,11,8.7,11.77,5.08,-0.6
1985,12,17.3,6.98,5.18,2
1986,1,5.8,3.79,6.83,0.3
1986,2,10.7,7,6.64,0.6
1986,3,8.1,12.44,4.69,-0.9
1986,4,16.9,24.75,4.21,-1.9
1986,5,36.9,39.26,2.86,-0.8
1986,6,50,50.32,1.47,-0.2
1986,7,53.2,53.77,1.57,-0.4
1986,8,47.6,50.02,2.01,-1.2
1986,9,41.7,40.84,2.88,0.3
1986,10,25.9,25.22,4.17,0.2
1986,11,10.9,11.77,5.08,-0.2
1986,12,15.5,6.98,5.18,1.6
1987,1,8.6,3.79,6.83,0.7
1987,2,8.3,7,6.64,0.2
1987,3,13.3,12.44,4.69,0.2
1987,4,22.7,24.75,4.21,-0.5
1987,5,38.4,39.26,2.86,-0.3
1987,6,49,50.32,1.47,-0.9
1987,7,53.7,53.77,1.57,0
1987,8,51.1,50.02,2.01,0.5
1987,9,38.7,40.84,2.88,-0.7
1987,10,30.2,25.22,4.17,1.2
1987,11,12.2,11.77,5.08,0.1
1987,12,4.2,6.98,5.18,-0.5
1988,1,7.6,3.79,6.83,0.6
1988,2,8.9,7,6.64,0.3
1988,3,13.8,12.44,4.69,0.3
1988,4,24.8,24.75,4.21,0
1988,5,40.3,39.26,2.86,0.4
1988,6,50.2,50.32,1.47,-0.1
1988,7,54.5,53.77,1.57,0.5
1988,8,49.8,50.02,2.01,-0.1
1988,9,39.9,40.84,2.88,-0.3
1988,10,20.6,25.22,4.17,-1.1
1988,11,5.3,11.77,5.08,-1.3
1988,12,9.8,6.98,5.18,0.5
1989,1,-11.9,3.79,6.83,-2.3
1989,2,14.9,7,6.64,1.2
1989,3,10.8,12.44,4.69,-0.3
1989,4,28.4,24.75,4.21,0.9
1989,5,37.4,39.26,2.86,-0.7
1989,6,49.7,50.32,1.47,-0.4
1989,7,54.5,53.77,1.57,0.5
1989,8,52.7,50.02,2.01,1.3
1989,9,43.5,40.84,2.88,0.9
1989,10,26,25.22,4.17,0.2
1989,11,4.1,11.77,5.08,-1.5
1989,12,11.2,6.98,5.18,0.8
1990,1,-1.5,3.79,6.83,-0.8
1990,2,-11.4,7,6.64,-2.8
1990,3,15.8,12.44,4.69,0.7
1990,4,29.8,24.75,4.21,1.2
1990,5,42.7,39.26,2.86,1.2
1990,6,50.9,50.32,1.47,0.4
1990,7,55.3,53.77,1.57,1
1990,8,52.2,50.02,2.01,1.1
1990,9,40.1,40.84,2.88,-0.3
1990,10,24,25.22,4.17,-0.3
1990,11,4.7,11.77,5.08,-1.4
1990,12,2.2,6.98,5.18,-0.9
1991,1,4,3.79,6.83,0
1991,2,4.5,7,6.64,-0.4
1991,3,12,12.44,4.69,-0.1
1991,4,26.8,24.75,4.21,0.5
1991,5,40.7,39.26,2.86,0.5
1991,6,51.5,50.32,1.47,0.8
1991,7,52.3,53.77,1.57,-0.9
1991,8,48.6,50.02,2.01,-0.7
1991,9,43.4,40.84,2.88,0.9
1991,10,26.6,25.22,4.17,0.3
1991,11,9.9,11.77,5.08,-0.4
1991,12,3.3,6.98,5.18,-0.7
1992,1,6.5,3.79,6.83,0.4
1992,2,0.3,7,6.64,-1
1992,3,12.8,12.44,4.69,0.1
1992,4,22.6,24.75,4.21,-0.5
1992,5,33.9,39.26,2.86,-1.9
1992,6,50.6,50.32,1.47,0.2
1992,7,54.6,53.77,1.57,0.5
1992,8,49.6,50.02,2.01,-0.2
1992,9,31.6,40.84,2.88,-3.2
1992,10,20.9,25.22,4.17,-1
1992,11,13.8,11.77,5.08,0.4
1992,12,3.3,6.98,5.18,-0.7
1993,1,3.2,3.79,6.83,-0.1
1993,2,10.6,7,6.64,0.5
1993,3,16.7,12.44,4.69,0.9
1993,4,30.4,24.75,4.21,1.3
1993,5,42.2,39.26,2.86,1
1993,6,51.5,50.32,1.47,0.8
1993,7,56.8,53.77,1.57,1.9
1993,8,50.1,50.02,2.01,0
1993,9,39.7,40.84,2.88,-0.4
1993,10,29.9,25.22,4.17,1.1
1993,11,15.8,11.77,5.08,0.8
1993,12,11.9,6.98,5.18,0.9
1994,1,7.4,3.79,6.83,0.5
1994,2,4.1,7,6.64,-0.4
1994,3,9,12.44,4.69,-0.7
1994,4,25.7,24.75,4.21,0.2
1994,5,40.3,39.26,2.86,0.4
1994,6,49.4,50.32,1.47,-0.6
1994,7,54.5,53.77,1.57,0.5
1994,8,51.8,50.02,2.01,0.9
1994,9,39.8,40.84,2.88,-0.4
1994,10,22.8,25.22,4.17,-0.6
1994,11,6.9,11.77,5.08,-1
1994,12,2.8,6.98,5.18,-0.8
1995,1,5,3.79,6.83,0.2
1995,2,8.4,7,6.64,0.2
1995,3,6.5,12.44,4.69,-1.3
1995,4,30,24.75,4.21,1.2
1995,5,42.7,39.26,2.86,1.2
1995,6,49.8,50.32,1.47,-0.4
1995,7,53.8,53.77,1.57,0
1995,8,49.6,50.02,2.01,-0.2
1995,9,45.9,40.84,2.88,1.8
1995,10,27,25.22,4.17,0.4
1995,11,9,11.77,5.08,-0.5
1995,12,5.6,6.98,5.18,-0.3
1996,1,-2.4,3.79,6.83,-0.9
1996,2,4,7,6.64,-0.5
1996,3,17.7,12.44,4.69,1.1
1996,4,23.7,24.75,4.21,-0.2
1996,5,40.4,39.26,2.86,0.4
1996,6,49.6,50.32,1.47,-0.5
1996,7,53.6,53.77,1.57,-0.1
1996,8,47.4,50.02,2.01,-1.3
1996,9,37.3,40.84,2.88,-1.2
1996,10,17.1,25.22,4.17,-1.9
1996,11,11.6,11.77,5.08,0
1996,12,0.9,6.98,5.18,-1.2
1997,1,-0.3,3.79,6.83,-0.6
1997,2,15.1,7,6.64,1.2
1997,3,7.7,12.44,4.69,-1
1997,4,27.5,24.75,4.21,0.7
1997,5,41,39.26,2.86,0.6
1997,6,52.3,50.32,1.47,1.3
1997,7,55.4,53.77,1.57,1
1997,8,52.2,50.02,2.01,1.1
1997,9,44.6,40.84,2.88,1.3
1997,10,20.3,25.22,4.17,-1.2
1997,11,18.1,11.77,5.08,1.2
1997,12,3.7,6.98,5.18,-0.6
1998,1,0.6,3.79,6.83,-0.5
1998,2,10.4,7,6.64,0.5
1998,3,20.2,12.44,4.69,1.7
1998,4,30.6,24.75,4.21,1.4
1998,5,39.2,39.26,2.86,0
1998,6,49.9,50.32,1.47,-0.3
1998,7,54.8,53.77,1.57,0.7
1998,8,47.7,50.02,2.01,-1.2
1998,9,41.6,40.84,2.88,0.3
1998,10,27.4,25.22,4.17,0.5
1998,11,15,11.77,5.08,0.6
1998,12,3.8,6.98,5.18,-0.6
1999,1,-3.3,3.79,6.83,-1
1999,2,-3.7,7,6.64,-1.6
1999,3,9.1,12.44,4.69,-0.7
1999,4,23.6,24.75,4.21,-0.3
1999,5,37.4,39.26,2.86,-0.7
1999,6,51,50.32,1.47,0.5
1999,7,53.2,53.77,1.57,-0.4
1999,8,51.1,50.02,2.01,0.5
1999,9,41.9,40.84,2.88,0.4
1999,10,22.8,25.22,4.17,-0.6
1999,11,8,11.77,5.08,-0.7
1999,12,-2.6,6.98,5.18,-1.8
2000,1,0.7,3.79,6.83,-0.5
2000,2,16.3,7,6.64,1.4
2000,3,17.2,12.44,4.69,1
2000,4,24.5,24.75,4.21,-0.1
2000,5,35.4,39.26,2.86,-1.3
2000,6,51.2,50.32,1.47,0.6
2000,7,51.8,53.77,1.57,-1.3
2000,8,47.4,50.02,2.01,-1.3
2000,9,38.6,40.84,2.88,-0.8
2000,10,24.9,25.22,4.17,-0.1
2000,11,18.2,11.77,5.08,1.3
2000,12,14.5,6.98,5.18,1.5
2001,1,15.7,3.79,6.83,1.7
2001,2,14.7,7,6.64,1.2
2001,3,12,12.44,4.69,-0.1
2001,4,25.1,24.75,4.21,0.1
2001,5,32.7,39.26,2.86,-2.3
2001,6,50.8,50.32,1.47,0.3
2001,7,52.1,53.77,1.57,-1.1
2001,8,50.5,50.02,2.01,0.2
2001,9,42.4,40.84,2.88,0.5
2001,10,21.8,25.22,4.17,-0.8
2001,11,9.7,11.77,5.08,-0.4
2001,12,0.6,6.98,5.18,-1.2
2002,1,9.5,3.79,6.83,0.8
2002,2,8.7,7,6.64,0.3
2002,3,15.4,12.44,4.69,0.6
2002,4,21.5,24.75,4.21,-0.8
2002,5,41.1,39.26,2.86,0.6
2002,6,50,50.32,1.47,-0.2
2002,7,53.4,53.77,1.57,-0.2
2002,8,49.2,50.02,2.01,-0.4
2002,9,42.7,40.84,2.88,0.6
2002,10,31.8,25.22,4.17,1.6
2002,11,24.1,11.77,5.08,2.4
2002,12,13.6,6.98,5.18,1.3
2003,1,10.2,3.79,6.83,0.9
2003,2,16.5,7,6.64,1.4
