1966,12,13.617,-0.22,0.71,-4,3.8
1967,1,14.374,-0.26,0.07,14.6,3.9
1967,2,14.97,-0.22,0,12.9,3.8
1967,3,15.946,-0.54,0.8,7.8,3.8
1967,4,15.049,-0.66,0.75,-3,3.8
1967,5,14.075,-0.85,1.93,-3.5,3.8
1967,6,12.424,-0.57,2.55,6.6,3.9
1967,7,11.41,-0.51,2.52,1.6,3.8
1967,8,8.758,-0.77,2.97,5.9,3.8
1967,9,8.534,-0.26,0.91,5.1,3.8
1967,10,10.014,0.09,-0.25,-0.1,4
1967,11,12.473,0.23,0.35,-4,3.9
1967,12,13.604,-0.67,0.51,-5.5,3.8
1968,1,15.043,-0.65,1.06,4.1,3.7
1968,2,15.221,-0.36,1.92,9.6,3.8
1968,3,15.936,0.01,1.94,-3,3.7
1968,4,15.251,-0.42,1.63,-3,3.5
1968,5,14.589,-0.34,2.02,14.7,3.5
1968,6,13.758,0.37,2.08,12.3,3.7
1968,7,11.616,0.66,0.47,7.4,3.7
1968,8,8.85,0.31,0.37,0.1,3.5
1968,9,7.452,0.44,-0.11,-2.8,3.4
1968,10,9.948,-0.13,0.05,-1.9,3.4
1968,11,12.263,-0.04,-0.08,-3.4,3.4
1968,12,14.22,-0.19,0.14,2.1,3.4
1969,1,14.791,-0.48,0.38,-13.5,3.4
1969,2,15.246,-0.85,-0.14,-6.9,3.4
1969,3,16.611,-0.77,-0.82,1.8,3.4
1969,4,15.657,-0.63,-0.98,-8.8,3.4
1969,5,14.917,-0.52,-1.21,-6.6,3.4
1969,6,13.694,0.81,-1.03,-0.6,3.5
1969,7,11.891,0.02,-0.11,-6.9,3.5
1969,8,10.16,-0.49,0.34,-4.4,3.5
1969,9,8.777,-0.61,-0.27,-10.6,3.7
1969,10,9.712,0.94,-1.53,-11.7,3.7
1969,11,12.071,0.64,-0.59,-0.1,3.5
1969,12,13.625,0.94,-0.7,3.7,3.5
1970,1,14.553,0.99,-1.07,-10.1,3.9
1970,2,15.482,0.98,-0.41,-10.7,4.2
1970,3,15.435,1.28,-0.31,1.8,4.4
1970,4,15.296,0.54,-0.22,-4.6,4.6
1970,5,14.101,-0.47,0.23,2.1,4.8
1970,6,13.208,0.13,-0.11,9.9,4.9
1970,7,11.952,-0.63,-0.45,-5.6,5
1970,8,9.195,-1.32,-0.29,4,5.1
1970,9,8.501,-1.07,0.14,12.9,5.4
1970,10,9.908,-0.75,0.58,10.3,5.5
1970,11,12.664,-0.59,0.48,19.7,5.9
1970,12,13.37,-0.71,0.5,17.4,6.1
1971,1,14.574,-0.95,0.19,2.7,5.9
1971,2,15.309,-1.25,1,15.7,5.9
1971,3,15.63,-1.21,0.69,19.2,6
1971,4,15.843,-1.26,0.35,22.6,5.9
1971,5,14.684,-1.4,-0.23,9.2,5.9
1971,6,13.616,-1.48,-0.69,2.6,5.9
1971,7,11.61,-1.95,0.52,1.6,6
1971,8,8.025,-0.42,-0.88,14.9,6.1
1971,9,7.823,-0.44,-2.44,15.9,6
1971,10,9.733,-0.56,-1.93,17.7,5.8
1971,11,11.986,-1.21,-0.81,7.2,6
1971,12,14.084,-1.51,0.41,2.1,6
1972,1,14.921,-1.69,-0.28,3.7,5.8
1972,2,15.424,-1.55,0.07,8.2,5.7
1972,3,15.681,-1.2,1.06,2.4,5.8
1972,4,15.277,-1.22,1.42,-5.5,5.7
1972,5,14.418,-1.61,1.37,-16.1,5.7
1972,6,13.1,-1.53,1.38,-12,5.7
1972,7,11.729,-1.05,1.01,-18.6,5.6
1972,8,9.503,-0.03,-0.05,-8.9,5.6
1972,9,8.226,-0.13,-0.58,-14.8,5.5
1972,10,9.592,-0.31,-0.05,-11.1,5.6
1972,11,12.171,-0.08,-0.58,-3.4,5.3
1972,12,13.619,-0.3,0.27,-12.1,5.2
1973,1,14.529,-0.04,-0.35,-3,4.9
1973,2,14.977,-0.23,-0.31,-13.5,5
1973,3,15.312,-0.37,-0.32,0.8,4.9
1973,4,15.041,-0.68,-0.48,-2.1,5
1973,5,14.154,-1.04,-0.39,2.8,4.9
1973,6,12.549,-0.99,-0.47,12.3,4.9
1973,7,11.005,-0.86,-1.53,6.1,4.8
1973,8,8.913,-1.04,-1.23,12.3,4.8
1973,9,7.993,-0.59,-2.05,13.5,4.8
1973,10,9.502,-0.86,-1.38,9.7,4.6
1973,11,11.811,-1.02,-0.58,31.6,4.8
1973,12,13.398,-0.73,-0.52,16.9,4.9
1974,1,14.557,-0.65,0.53,20.8,5.1
1974,2,14.818,-1.06,0.91,16.2,5.2
1974,3,14.929,-0.94,0.79,20.3,5.1
1974,4,14.84,-0.44,0.67,11.1,5.1
1974,5,13.916,-0.5,0.4,10.7,5.1
1974,6,12.408,-0.31,0.06,2.6,5.4
1974,7,11.189,0.14,0.14,12,5.5
1974,8,8.341,0.19,-0.52,6.6,5.5
1974,9,7.563,0.95,0.32,12.3,5.9
1974,10,9.606,0.43,0.67,8.5,6
1974,11,12.182,0.62,-0.83,-1.4,6.6
1974,12,13.475,0.28,-0.38,-0.9,7.2
1975,1,14.406,-0.42,-0.18,-4.9,8.1
1975,2,15.134,-0.61,-0.16,5.3,8.1
1975,3,15.407,-0.7,-0.4,11.6,8.6
1975,4,15.035,-1.24,-0.25,14.4,8.8
1975,5,13.891,-1.53,-0.49,6,9
1975,6,12.74,-1.37,-0.43,15.5,8.8
1975,7,11.03,-0.65,-0.61,21.1,8.6
1975,8,8.497,-0.98,-1.32,20.7,8.4
1975,9,7.922,-0.99,-0.62,22.5,8.4
1975,10,9.756,-1.1,-0.54,17.7,8.4
1975,11,11.974,-1.35,-0.97,13.8,8.3
1975,12,13.689,-1.25,0.06,19.5,8.2
1976,1,14.822,-0.88,0.03,11.8,7.9
1976,2,15.333,-0.83,0.31,12.9,7.7
1976,3,15.4,-0.98,0.06,13.2,7.6
1976,4,15.084,-1.04,-0.57,1.2,7.7
1976,5,14.454,-0.9,-0.82,2.1,7.4
1976,6,12.719,-1.26,-0.16,0.2,7.6
1976,7,11.13,0.19,-0.97,-12.8,7.8
1976,8,8.534,0.81,-2.53,-12.1,7.8
1976,9,7.617,0.46,-2.13,-13,7.6
1976,10,9.976,0.96,-2.17,3,7.7
1976,11,12.48,1.14,-1.87,9.8,7.8
1976,12,13.651,1.06,-0.73,-3,7.8
1977,1,14.574,1,-0.6,-4,7.5
1977,2,15.066,1.32,-0.22,7.7,7.6
1977,3,15.42,0.8,-0.74,-9.5,7.4
1977,4,15.043,0.21,-0.68,-9.6,7.2
1977,5,14.501,-0.09,-0.8,-11.4,7
1977,6,13.231,0.24,-0.39,-17.7,7.2
1977,7,10.809,0.43,-0.09,-14.7,6.9
1977,8,8.14,0.66,0.57,-12.1,7
1977,9,7.482,0.12,1.46,-9.4,6.8
1977,10,9.878,-0.41,0.72,-12.9,6.8
1977,11,11.86,-0.22,-1.22,-14.6,6.8
1977,12,13.473,0,0.09,-10.6,6.4
1978,1,14.55,0.68,0.02,-3,6.4
1978,2,14.903,0.91,-0.25,-24.4,6.3
1978,3,15.068,1.29,-0.21,-5.8,6.3
1978,4,14.864,1.14,-0.03,-7.9,6.1
1978,5,14.125,0.92,-0.14,16.3,6
1978,6,12.949,0.44,-0.7,5.8,5.9
1978,7,11.615,-0.78,0.39,6.1,6.2
1978,8,8.963,-0.29,-0.19,1.4,5.9
1978,9,8.211,-0.22,-0.13,0.8,6
1978,10,10.029,0.4,0.19,-6.2,5.8
1978,11,11.69,0.26,0.5,-2,5.9
1978,12,14.04,-0.14,0.36,-0.9,6
1979,1,15.54,0.09,0.14,-4,5.9
1979,2,16.34,-0.51,-0.39,6.7,5.9
1979,3,16.48,-0.01,-0.29,-3,5.8
1979,4,15.49,0.34,0.1,-5.5,5.8
1979,5,14.04,0.88,0.05,3.6,5.6
1979,6,12.59,0.46,0.12,5.8,5.7
1979,7,10.47,0.51,0.2,-8.2,5.7
1979,8,8.14,0.59,0.08,-5,6
1979,9,7.19,1.21,-0.22,1.4,5.9
1979,10,9.4,1.27,-1.21,-2.5,6
1979,11,11.15,0.9,-0.91,-4.7,5.9
1979,12,13.52,0.45,0.1,-7.5,6
1980,1,14.96,0.35,0.27,3.2,6.3
1980,2,16.03,0.76,0.33,1.1,6.3
1980,3,16.15,0.82,-0.09,-8.5,6.3
